Titulo,Autor,Editor,TituloBusqueda,cluster id,confidence
hermano de los osos,,"grupo anaya, s.a.",hermano de los osos,0,0.346948066
,inmaculada benet salinas,"grupo anaya, s.a.",,0,0.362564905
,,"grupo anaya, s.a.",,0,0.400133741
ramoncete y la gorda,jorge ferrer-vidal turull,"grupo anaya, s.a.",ramoncete y la gorda,0,0.312912604
,medardo fraile,"grupo anaya, s.a.",,0,0.368302698
curso de electronica y micro. 3,"ruiz vassallo, francisco","centro de estudios ceac, s.l. (grupo ceac)",curso de electronica y micro. 3,1,0.305832488
curso de comercio exterior,,"centro de estudios ceac, s.l. (grupo ceac)",curso de comercio exterior,1,0.274784907
,francisco ruiz vassallo,"centro de estudios ceac, s.l. (grupo ceac)",,1,0.380851048
,francisco ruiz vassallo,"centro de estudios ceac, s.l. (grupo ceac)",,1,0.380851048
,francisco ruiz vassallo,"centro de estudios ceac, s.l. (grupo ceac)",,1,0.380851048
"curso de electronica digital. practicas, tomo ii",francisco ruiz vassallo,"centro de estudios ceac, s.l. (grupo ceac)","curso de electronica digital. practicas, tomo ii",1,0.348490646
"curso de electronica digital. practicas, tomo xi",francisco ruiz vassallo,"centro de estudios ceac, s.l. (grupo ceac)","curso de electronica digital. practicas, tomo xi",1,0.348490646
,francisco ruiz vassallo,"planeta de agostini, s.a.",,1,0.289232409
historia del siglo xx,antonio eduardo tello arguello,"salvat editores, s.a.",historia del siglo xx,2,0.400133741
,,"salvat editores, s.a.",,2,0.400133741
historia del mundo contemporaneo,manuel gomez lorente,"mcgraw-hill/interamericana de espana, s.a.",historia del mundo contemporaneo,3,0.332670514
"historia del mundo contemporaneo, 1o bachillerato",asuncion justa torres lopez-tercero,"mcgraw-hill/interamericana de espana, s.a.","historia del mundo contemporaneo, 1o bachillerato",3,0.340181772
,,"mcgraw-hill/interamericana de espana, s.a.",,3,0.400133741
londres,,"mcgraw-hill/interamericana de espana, s.a.",londres,3,0.328200174
,,"grupo editorial random house mondadori, s.l.",,4,0.400133741
,,"grupo editorial random house mondadori, s.l.",,4,0.400133741
solos en los bares de noche,antonio montesinos gilbert,"grupo editorial random house mondadori, s.l.",solos en los bares de noche,4,0.303537026
la caida de jonathan edar,,"grupo editorial random house mondadori, s.l.",la caida de jonathan edar,4,0.310937356
,,"grupo editorial random house mondadori, s.l.",,4,0.400133741
